auc,f1,precision,recall,threshold,fold,best_iteration
0.9749630886187289,0.8695652173913043,0.875,0.8641975308641975,0.8195869307046915,1,100
0.9783243803600038,0.8961038961038961,0.9452054794520548,0.8518518518518519,0.6513577066532888,2,81
0.9919580309741463,0.9090909090909091,0.958904109589041,0.8641975308641975,0.6333213441172725,3,119
0.9828794018785537,0.8809523809523809,0.8505747126436781,0.9135802469135802,0.7344006705733492,4,68
0.9800207332013948,0.8805031446540881,0.8974358974358975,0.8641975308641975,0.8238454570720782,5,66
0.9759369208054535,0.875,0.8860759493670886,0.8641975308641975,0.5333682019590247,6,81
0.9751908396946565,0.9079754601226994,0.891566265060241,0.925,0.6148341789477526,7,80
0.9809796437659033,0.8846153846153846,0.9078947368421053,0.8625,0.7439097916366839,8,111
0.9741730279898219,0.8902439024390244,0.8690476190476191,0.9125,0.4325677357460299,9,78
0.9771352985638699,0.8571428571428571,0.8275862068965517,0.8888888888888888,0.23691194793970494,10,68
