auc,f1,precision,recall,threshold,fold
0.9432035937549084,0.8301886792452831,0.8461538461538461,0.8148148148148148,0.9281545482458834,1
0.9650048691609336,0.8461538461538461,0.88,0.8148148148148148,0.9215649215405659,2
0.9746175352621492,0.8648648648648649,0.9552238805970149,0.7901234567901234,0.9646397306045739,3
0.9613294380045864,0.8734177215189873,0.8961038961038961,0.8518518518518519,0.9136942825947971,4
0.9534759526277762,0.8441558441558441,0.8904109589041096,0.8024691358024691,0.8561760336846178,5
0.9377689818741557,0.8461538461538461,0.88,0.8148148148148148,0.900384169860254,6
0.9456106870229007,0.8387096774193549,0.8666666666666667,0.8125,0.7489165562880074,7
0.9783715012722646,0.9171974522292994,0.935064935064935,0.9,0.876943282177406,8
0.9656170483460559,0.8765432098765432,0.8658536585365854,0.8875,0.8728325460218177,9
0.9492315444696398,0.8607594936708861,0.8831168831168831,0.8395061728395061,0.7168701789492626,10
