model_type,baseline,t_stat,p_value,mean_diff,significant,winner
logreg,B1,-0.8948193584897893,0.3941846014294761,-0.002463470372016441,False,hour_sin_cos
logreg,B2,2.0809335361882852,0.06716346695820223,0.005888306399844501,False,is_evening
attn_logreg,B1,0.3340277393644061,0.746010226982873,0.004511771457415437,False,is_evening
attn_logreg,B2,-1.1683118470750502,0.27269631379664705,-0.009217828295417507,False,hour_sin_cos
lgbm,B1,-0.9754718210787299,0.3548147796859391,-0.004079944905422184,False,hour_sin_cos
lgbm,B2,-0.5598047523340628,0.5892717313401941,-0.0013862093372246642,False,hour_sin_cos
attn_lgbm,B1,1.8943300725929477,0.09070649924388176,0.017024956214044984,False,is_evening
attn_lgbm,B2,1.0465574916562395,0.3225958448854396,0.006795837731125687,False,is_evening
