auc,f1,precision,recall,threshold,fold,best_iteration
0.9729840103037728,0.8679245283018868,0.8846153846153846,0.8518518518518519,0.7817417899510263,1,78
0.980177802908931,0.8974358974358975,0.9333333333333333,0.8641975308641975,0.5478778518951215,2,79
0.9924292400967549,0.9044585987261147,0.9342105263157895,0.8765432098765432,0.5553949061493104,3,100
0.9813715326862061,0.8700564971751412,0.8020833333333334,0.9506172839506173,0.5830110926737524,4,70
0.9803977004994816,0.8717948717948718,0.9066666666666666,0.8395061728395061,0.8602989627079852,5,69
0.9768479251091635,0.8774193548387097,0.918918918918919,0.8395061728395061,0.7690120582710513,6,74
0.9770038167938931,0.9090909090909091,0.8823529411764706,0.9375,0.5234203685253632,7,86
0.9802798982188294,0.8695652173913043,0.8641975308641975,0.875,0.5351709521521534,8,102
0.9752862595419848,0.8902439024390244,0.8690476190476191,0.9125,0.44680505364487055,9,84
0.9756235827664399,0.8554216867469879,0.8352941176470589,0.8765432098765432,0.34222082911365476,10,63
