auc,f1,precision,recall,threshold,fold
0.9029309207426256,0.6787878787878788,0.6666666666666666,0.691358024691358,0.1639109136879796,1
0.9035591995727704,0.6928104575163399,0.7361111111111112,0.654320987654321,0.9883448003315533,2
0.8663650928281971,0.6455696202531646,0.6623376623376623,0.6296296296296297,0.8432557491720561,3
0.9015801212578142,0.7283950617283951,0.7283950617283951,0.7283950617283951,0.7179234621776174,4
0.8792291018754123,0.6289308176100629,0.6410256410256411,0.6172839506172839,0.8352501389487097,5
0.9024282976785097,0.6622516556291391,0.7142857142857143,0.6172839506172839,0.8185208565206136,6
0.8880725190839696,0.6845637583892618,0.7391304347826086,0.6375,0.7696290524510512,7
0.9341603053435115,0.7125,0.7125,0.7125,0.857212688557139,8
0.9319338422391857,0.7160493827160493,0.7073170731707317,0.725,0.6329938698011853,9
0.9171390778533635,0.7455621301775148,0.7159090909090909,0.7777777777777778,0.25033198372059007,10
