auc,f1,precision,recall,threshold,fold,best_iteration
0.957041434988848,0.8228571428571428,0.7659574468085106,0.8888888888888888,0.20940661445016548,1,39
0.9774447899978009,0.8658536585365854,0.8554216867469879,0.8765432098765432,0.7816949311324113,2,43
0.9671096032419187,0.8758169934640523,0.9305555555555556,0.8271604938271605,0.8269392044759458,3,50
0.9563346213049352,0.8695652173913043,0.875,0.8641975308641975,0.7800680220661436,4,47
0.940533408726793,0.8117647058823529,0.7752808988764045,0.8518518518518519,0.5399770379129363,5,32
0.966764049885339,0.8695652173913043,0.875,0.8641975308641975,0.7336456085637671,6,44
0.923870865139949,0.8258064516129032,0.8533333333333334,0.8,0.5373824770997494,7,34
0.9921119592875318,0.9125,0.9125,0.9125,0.7128621941099452,8,56
0.9504452926208651,0.8727272727272727,0.8470588235294118,0.9,0.5923150461672442,9,46
0.9450428319475939,0.8343558282208589,0.8292682926829268,0.8395061728395061,0.5803307946071775,10,37
