auc,f1,precision,recall,threshold,fold,best_iteration
0.9530361574466748,0.76,0.8260869565217391,0.7037037037037037,0.5886853986720335,1,216
0.9450256023623284,0.7692307692307693,0.693069306930693,0.8641975308641975,0.2763199380177846,2,218
0.9551094775861526,0.7448979591836735,0.6347826086956522,0.9012345679012346,0.18036381881875704,3,178
0.9366694939214023,0.7386363636363636,0.6842105263157895,0.8024691358024691,0.4113570852810149,4,168
0.9357899035591996,0.7453416149068323,0.75,0.7407407407407407,0.47551756003148926,5,125
0.9450570163038357,0.7441860465116279,0.7032967032967034,0.7901234567901234,0.34148713552975946,6,199
0.9547391857506362,0.802547770700637,0.8181818181818182,0.7875,0.4865167389946752,7,252
0.9258269720101782,0.7272727272727273,0.8253968253968254,0.65,0.6372836224064239,8,160
0.9358142493638677,0.7125,0.7125,0.7125,0.4848374341755031,9,169
0.9494520030234316,0.7770700636942676,0.8026315789473685,0.7530864197530864,0.5291392318022172,10,133
