model_type,time_feature,t_stat,p_value,mean_diff,significant,winner
logreg,is_evening,-17.520434983952835,2.9081391006546066e-08,-0.14769747597792127,True,B2
logreg,hour_sin_cos,-16.957186247112414,3.871855577859608e-08,-0.13934569920606033,True,B2
attn_logreg,is_evening,-10.344095200997764,2.6981828047476744e-06,-0.1610545589526774,True,B2
attn_logreg,hour_sin_cos,-16.862239545315596,4.066838022342775e-08,-0.17478415870551034,True,B2
lgbm,is_evening,-15.639418660937382,7.846375100250136e-08,-0.13156477440033998,True,B2
lgbm,hour_sin_cos,-10.630532456647515,2.1461516904791066e-06,-0.12887103883214246,True,B2
attn_lgbm,is_evening,-19.513126571716146,1.128278598213857e-08,-0.17534286745120387,True,B2
attn_lgbm,hour_sin_cos,-23.0248658315824,2.6132744426154028e-09,-0.18557198593412316,True,B2
