auc,f1,precision,recall,threshold,fold,best_iteration
0.9774762039393082,0.8809523809523809,0.8505747126436781,0.9135802469135802,0.5985086373859452,1,77
0.97939245437125,0.8831168831168831,0.9315068493150684,0.8395061728395061,0.5563128937325739,2,78
0.9920836867401753,0.9113924050632911,0.935064935064935,0.8888888888888888,0.5175225033944961,3,121
0.9805233562655106,0.872093023255814,0.8241758241758241,0.9259259259259259,0.5744174676964912,4,80
0.9830364715860899,0.8679245283018868,0.8846153846153846,0.8518518518518519,0.8314268327984925,5,75
0.9760939905129896,0.8875,0.8987341772151899,0.8765432098765432,0.5130415741718349,6,76
0.9814249363867684,0.8947368421052632,0.9444444444444444,0.85,0.8654467077311431,7,85
0.9788167938931298,0.8662420382165605,0.8831168831168831,0.85,0.6318350005060049,8,79
0.9731870229007635,0.8834355828220859,0.8674698795180723,0.9,0.5057191506556323,9,71
0.9693247669438145,0.85,0.8607594936708861,0.8395061728395061,0.44558993237166633,10,61
