auc,f1,precision,recall,threshold,fold
0.9076587189394653,0.6729857819905213,0.5461538461538461,0.8765432098765432,0.0006644925779744047,1
0.8884962146200485,0.6630434782608695,0.5922330097087378,0.7530864197530864,0.05258232158989982,2
0.9053497942386831,0.7297297297297297,0.8059701492537313,0.6666666666666666,0.9804218682595592,3
0.8993183174692928,0.6704545454545454,0.6210526315789474,0.7283950617283951,0.000547023898172669,4
0.8647472748405742,0.6075949367088608,0.6233766233766234,0.5925925925925926,0.6268702554592634,5
0.9066377658404801,0.6630434782608695,0.5922330097087378,0.7530864197530864,0.09429071236806844,6
0.9098282442748091,0.6951871657754011,0.6074766355140186,0.8125,0.0033576233611323195,7
0.9389312977099237,0.7225806451612903,0.7466666666666667,0.7,0.8446047044446444,8
0.94058524173028,0.7425149700598802,0.7126436781609196,0.775,0.12513513625572484,9
0.9114701436130006,0.6831683168316832,0.5702479338842975,0.8518518518518519,0.0001161682499821332,10
