auc,f1,precision,recall,threshold,fold
0.9345019319574026,0.7195121951219512,0.7108433734939759,0.7283950617283951,0.8184296999650457,1
0.9407847202588508,0.745945945945946,0.6634615384615384,0.8518518518518519,0.632377691779032,2
0.953067571388182,0.7555555555555555,0.6868686868686869,0.8395061728395061,0.6009709456309036,3
0.9410988596739233,0.7325581395348837,0.6923076923076923,0.7777777777777778,0.7786384151408843,4
0.931674677221751,0.7204301075268817,0.638095238095238,0.8271604938271605,0.621525602520208,5
0.9378946376401847,0.717948717948718,0.7466666666666667,0.691358024691358,0.8210589065336141,6
0.9446564885496183,0.745945945945946,0.6571428571428571,0.8625,0.5637125813347141,7
0.9272900763358778,0.7022900763358778,0.9019607843137255,0.575,0.9239498686962531,8
0.9398536895674301,0.7692307692307693,0.7894736842105263,0.75,0.7906438453867759,9
0.934649785840262,0.7733333333333333,0.8405797101449275,0.7160493827160493,0.8095949325632147,10
