auc,f1,precision,recall,threshold,fold
0.975497125624352,0.8571428571428571,0.8275862068965517,0.8888888888888888,0.8060257080290447,1
0.9736751170169321,0.8765432098765432,0.8765432098765432,0.8765432098765432,0.6542760302970864,2
0.9868375585084661,0.922077922077922,0.9726027397260274,0.8765432098765432,0.7878811094909145,3
0.9836647504162347,0.88,0.8191489361702128,0.9506172839506173,0.8028848502439823,4
0.980837495680583,0.8670520231213873,0.8152173913043478,0.9259259259259259,0.7139667971103577,5
0.9807118399145541,0.8957055214723927,0.8902439024390244,0.9012345679012346,0.749186484121247,6
0.9658078880407124,0.9,0.9,0.9,0.8657445467845044,7
0.9790394402035624,0.8837209302325582,0.8260869565217391,0.95,0.6413591661223159,8
0.9738231552162849,0.8957055214723927,0.8795180722891566,0.9125,0.7141752562733826,9
0.9649470899470899,0.8571428571428571,0.9041095890410958,0.8148148148148148,0.7385781622825568,10
