auc,f1,precision,recall,threshold,fold,best_iteration
0.8279301353940881,0.6629213483146067,0.6082474226804123,0.7283950617283951,0.14500962047986515,1,18
0.8226054723086106,0.7074829931972789,0.7878787878787878,0.6419753086419753,0.7137165501641256,2,21
0.8706216819024283,0.6888888888888889,0.6262626262626263,0.7654320987654321,0.07690759735247471,3,21
0.814689159048786,0.6666666666666666,0.6436781609195402,0.691358024691358,0.33644916371894235,4,20
0.7427355260264504,0.5974025974025974,0.6301369863013698,0.5679012345679012,0.39671709563033614,5,16
0.8219929004492192,0.6440677966101694,0.59375,0.7037037037037037,0.13153577546067804,6,18
0.8149650127226462,0.6424242424242425,0.6235294117647059,0.6625,0.3300201109778939,7,18
0.8658237913486005,0.7142857142857143,0.6372549019607843,0.8125,0.09336686200463586,8,21
0.8711832061068701,0.7261904761904762,0.6931818181818182,0.7625,0.2909282874287854,9,25
0.7820767195767194,0.6547619047619048,0.632183908045977,0.6790123456790124,0.16846506041020567,10,18
