auc,f1,precision,recall,threshold,fold,best_iteration
0.9511827348977475,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.4585530890645044,1,182
0.9461879181980963,0.757396449704142,0.7272727272727273,0.7901234567901234,0.404414401727807,2,216
0.9555492727672541,0.7486631016042781,0.660377358490566,0.8641975308641975,0.25441609481653266,3,177
0.9435177331699809,0.7437185929648241,0.6271186440677966,0.9135802469135802,0.27850071500984,4,164
0.9396852323060974,0.7581699346405228,0.8055555555555556,0.7160493827160493,0.5094614532052452,5,142
0.9386485722363584,0.7388535031847133,0.7631578947368421,0.7160493827160493,0.5197187464174596,6,165
0.9521310432569975,0.7784431137724551,0.7471264367816092,0.8125,0.41146614235121864,7,210
0.9377226463104326,0.7484662576687117,0.7349397590361446,0.7625,0.4506544961918935,8,160
0.9262404580152672,0.7272727272727273,0.6666666666666666,0.8,0.3216508501938055,9,189
0.9425862937767698,0.7831325301204819,0.7647058823529411,0.8024691358024691,0.35333375442548803,10,152
