auc,f1,precision,recall,threshold,fold
0.9760311626299751,0.8571428571428571,0.8275862068965517,0.8888888888888888,0.7970660294516425,1
0.9738950146074828,0.8765432098765432,0.8765432098765432,0.8765432098765432,0.636576853215525,2
0.9874344233971035,0.922077922077922,0.9726027397260274,0.8765432098765432,0.7838668410487066,3
0.9837275782992492,0.88,0.8191489361702128,0.9506172839506173,0.8004070101292303,4
0.9810259793296265,0.872093023255814,0.8241758241758241,0.9259259259259259,0.7167883497569005,5
0.980711839914554,0.8957055214723927,0.8902439024390244,0.9012345679012346,0.755951968479361,6
0.9663804071246819,0.9032258064516129,0.9333333333333333,0.875,0.9060263300192626,7
0.9791984732824428,0.8786127167630058,0.8172043010752689,0.95,0.6268065368257435,8
0.9739503816793893,0.8957055214723927,0.8795180722891566,0.9125,0.7099095171722021,9
0.9656084656084656,0.8589743589743589,0.8933333333333333,0.8271604938271605,0.7315043882618426,10
