auc,f1,precision,recall,threshold,fold
0.9770364087582069,0.8571428571428571,0.8275862068965517,0.8888888888888888,0.7822538310977949,1
0.974711777086671,0.8903225806451613,0.9324324324324325,0.8518518518518519,0.7383895064007417,2
0.9890365344139729,0.9078947368421053,0.971830985915493,0.8518518518518519,0.8494352019451612,3
0.9812458769201772,0.8604651162790697,0.8131868131868132,0.9135802469135802,0.8462941668805728,4
0.9803662865579744,0.8620689655172413,0.8064516129032258,0.9259259259259259,0.6755702738585461,5
0.982408192755945,0.8902439024390244,0.8795180722891566,0.9012345679012346,0.6521864506754983,6
0.9668893129770992,0.8961038961038961,0.9324324324324325,0.8625,0.9265135489870059,7
0.9777989821882952,0.8701298701298701,0.9054054054054054,0.8375,0.929068612632469,8
0.975413486005089,0.8957055214723927,0.8795180722891566,0.9125,0.816086264816059,9
0.9673406399596876,0.8516129032258064,0.8918918918918919,0.8148148148148148,0.747670959752553,10
