auc,f1,precision,recall,threshold,fold
0.9586592529764709,0.8333333333333334,0.8666666666666667,0.8024691358024691,0.9622808331391455,1
0.9685860584927591,0.8717948717948718,0.9066666666666666,0.8395061728395061,0.9616876360332206,2
0.9703138252756573,0.8831168831168831,0.9315068493150684,0.8395061728395061,0.964501800508098,3
0.9612980240630791,0.8387096774193549,0.8783783783783784,0.8024691358024691,0.8405162186236691,4
0.9627744793139195,0.8192771084337349,0.8,0.8395061728395061,0.5325610663085547,5
0.9612351961800647,0.8554216867469879,0.8352941176470589,0.8765432098765432,0.6276012483646075,6
0.9337786259541985,0.8343558282208589,0.8192771084337349,0.85,0.6201840733791802,7
0.9790712468193384,0.8987341772151899,0.9102564102564102,0.8875,0.8709626491007626,8
0.9760814249363867,0.8658536585365854,0.8452380952380952,0.8875,0.846482400455223,9
0.9388699924414209,0.8053691275167785,0.8823529411764706,0.7407407407407407,0.9373828341185507,10
