auc,f1,precision,recall,threshold,fold,best_iteration
0.8558100084817643,0.6951871657754011,0.6132075471698113,0.8024691358024691,0.08249496920960629,1,24
0.8512392799924606,0.6785714285714286,0.6551724137931034,0.7037037037037037,0.629475281809134,2,19
0.8478151603681714,0.7005649717514124,0.6458333333333334,0.7654320987654321,0.26654144140988456,3,21
0.8001130901894261,0.6706586826347305,0.6511627906976745,0.691358024691358,0.17740040043988564,4,20
0.7465051990073195,0.6010928961748634,0.5392156862745098,0.6790123456790124,0.11567502441829888,5,14
0.8169352558665535,0.6956521739130435,0.7,0.691358024691358,0.3307767912438072,6,21
0.8141380407124682,0.6896551724137931,0.6382978723404256,0.75,0.06960426092957676,7,22
0.868781806615776,0.7142857142857143,0.6372549019607843,0.8125,0.11739654906137183,8,23
0.9069179389312976,0.718562874251497,0.6896551724137931,0.75,0.4688519653368538,9,24
0.8515684051398337,0.7111111111111111,0.6464646464646465,0.7901234567901234,0.06622100605358701,10,21
